,year,month,day,hour,powerusage,date,weekday,day_name,weekday_status,season,날짜,MEF,min_cutoff,max_cutoff,변화율_100이상_주중,변화율_100미만_주중,변화율_100이상_주말,변화율_100미만_주말,최대제한,최소제한,optimized_powerusage,MEF_CO2
7213,2020,10,27,13,74.17,2020-10-27 13:00:00,1,Tuesday,O,가을,2020-10-27,0.6433410036174803,22.77,110.22,114.72942500130861,90.6570874204904,148.94273487564664,75.6298069283324,85.09481452347059,67.24036173977773,101.87938592558976,17.826584150992996
7214,2020,10,27,14,72.97,2020-10-27 14:00:00,1,Tuesday,O,가을,2020-10-27,0.5946036167747593,21.76,107.53,111.75028252524388,91.9554731876532,139.04860158335433,78.93792486922636,81.54418115867045,67.09990878503054,99.41994323546503,15.727231911294584
7215,2020,10,27,15,69.9,2020-10-27 15:00:00,1,Tuesday,O,가을,2020-10-27,0.7006423855585755,22.28,109.57,111.9075689233242,91.46051011585976,159.61518127597677,77.61708894770295,78.22339067740363,63.93089657098598,75.35315034371503,3.82070826563006
7216,2020,10,27,16,77.91,2020-10-27 16:00:00,1,Tuesday,O,가을,2020-10-27,0.7178299141404701,22.2,133.6,114.48926469169822,92.50300084337263,171.68154384092176,72.06747645313921,89.19858612130209,72.06908795707162,68.9174091770239,-6.455150698357312
7217,2020,10,27,17,91.0,2020-10-27 17:00:00,1,Tuesday,O,가을,2020-10-27,0.8393132223817604,22.97,125.42,117.29134414285154,91.79955366720846,147.85318375334947,74.30502778598647,106.73512316999489,83.53759383715969,66.71304280981931,-20.38436430113842
7218,2020,10,27,18,92.77,2020-10-27 18:00:00,1,Tuesday,O,가을,2020-10-27,0.7763683464004296,27.52,108.54,113.32322140607077,90.79348608052362,130.72345300301006,80.42136763442653,105.12995249841185,84.22911703690176,81.35325670995095,-8.863598109373575
7219,2020,10,27,19,92.26,2020-10-27 19:00:00,1,Tuesday,O,가을,2020-10-27,0.6422953174813306,22.57,97.96,111.52133230957709,88.62931586111732,126.61252035676412,82.12210949428703,102.88958118881582,81.76940681346684,97.17667121974927,3.157954902040173
7220,2020,10,27,20,79.65,2020-10-27 20:00:00,1,Tuesday,O,가을,2020-10-27,0.5922154261880718,22.5,103.33,115.86797594720669,89.71631044241646,123.48377848244233,84.48910703916555,92.28884284195014,71.4590412673847,103.32999999999326,14.023661292129546
7221,2020,10,27,21,75.38,2020-10-27 21:00:00,1,Tuesday,O,가을,2020-10-27,0.6982268969658284,22.34,90.49,111.93088073371531,86.21921064065903,121.20571032510536,85.97786293817515,84.3734978970746,64.99204098092876,77.12452605147698,1.2180750115988217
7222,2020,10,27,22,74.46,2020-10-27 22:00:00,1,Tuesday,O,가을,2020-10-27,0.6724271789005241,22.55,85.03,112.52350616428093,89.26562554651724,118.34957338926021,87.14404068095611,83.78500268992357,66.46718478193674,85.02999999999595,7.107555280975821
7223,2020,10,27,23,57.76,2020-10-27 23:00:00,1,Tuesday,O,가을,2020-10-27,0.7387145655795514,24.35,62.96,107.87914595890436,91.9527926669105,116.51429585581285,91.98650492869086,62.31099470586316,53.11193304440751,53.111933044408495,-3.433594761884445
7224,2020,10,28,0,47.77,2020-10-28 00:00:00,2,Wednesday,O,가을,2020-10-28,0.5209436720667382,26.31,62.5,114.58138688541455,89.08417377311493,127.58061541860563,85.25538073006906,54.735528515162535,42.555509811417004,54.73552851516237,3.6286480025742587
7225,2020,10,28,1,47.35,2020-10-28 01:00:00,2,Wednesday,O,가을,2020-10-28,0.5625581112320991,24.03,61.32,111.81168273742661,90.34975839392557,116.88984534162347,89.90660534595311,52.942831776171495,42.78061059952376,61.31999999999968,7.858936813912244
7226,2020,10,28,2,46.24,2020-10-28 02:00:00,2,Wednesday,O,가을,2020-10-28,0.5858880316310444,23.6,55.77,109.43618916692833,92.99333290361197,112.3875929244331,87.56733894546471,50.60329387078767,43.00011713463018,55.7699999999998,5.5835129414437334
7227,2020,10,28,3,52.05,2020-10-28 03:00:00,2,Wednesday,O,가을,2020-10-28,0.6742309317167674,23.9,74.5,111.07685507893726,92.21933219759815,114.67422852356081,89.575895410396,57.81550306858684,48.00016240884984,73.93143295847672,14.753138930891742
7228,2020,10,28,4,48.67,2020-10-28 04:00:00,2,Wednesday,O,가을,2020-10-28,0.6669031865002304,23.62,68.15,109.84718159151808,91.98589865549015,120.83098104293322,89.7069818542576,53.46262328059185,44.769536875627054,57.74068144499271,6.049266359394151
7229,2020,10,28,5,48.71,2020-10-28 05:00:00,2,Wednesday,O,가을,2020-10-28,0.7197909746741354,27.81,70.01,107.86991145819798,92.69441775804312,130.06753370908794,81.30937625409314,52.54343387128824,45.1514508899428,46.24000000000098,-1.7778837074444078
7230,2020,10,28,6,49.04,2020-10-28 06:00:00,2,Wednesday,O,가을,2020-10-28,0.7352611373756079,25.34,71.11,108.26497520003531,93.05244743539158,129.22849284660052,77.61170082796916,53.09314383809731,45.63292022231603,46.24000000000007,-2.058731184651648
7231,2020,10,28,7,61.5,2020-10-28 07:00:00,2,Wednesday,O,가을,2020-10-28,0.6828118832741743,22.58,91.36,111.81081778211829,90.63888824452322,139.59676509103267,77.1277397688779,68.76365293600274,55.74291627038178,48.74058075040787,-8.712283087298752
7232,2020,10,28,8,80.51,2020-10-28 08:00:00,2,Wednesday,O,가을,2020-10-28,0.747858282163226,22.79,113.69,117.40177095559925,91.19353072475829,150.10054624429088,74.37368006788607,94.52016579635296,73.4199115865029,54.05845549569674,-19.78200663355236
7233,2020,10,28,9,79.45,2020-10-28 09:00:00,2,Wednesday,O,가을,2020-10-28,0.6985444577935196,22.9,115.49,116.31129879724453,90.35642116695804,159.06301642537494,77.06443238896956,92.40932689441078,71.78817661714817,46.24000000000914,-23.198661443316404
7234,2020,10,28,10,76.19,2020-10-28 10:00:00,2,Wednesday,O,가을,2020-10-28,0.7824195330539763,22.37,111.35,114.53795920558679,90.64287021627435,172.3047696503571,79.1250133489267,87.26647111873658,69.06080281777942,53.5906758967992,-17.68215261216184
7235,2020,10,28,11,80.33,2020-10-28 11:00:00,2,Wednesday,O,가을,2020-10-28,0.6428495237381266,25.95,118.37,112.77698987847151,91.33475264031175,144.81544688451802,71.1621514829658,90.59375596937616,73.36920679596243,67.22081262771077,-8.427234858869994
7236,2020,10,28,12,84.13,2020-10-28 12:00:00,2,Wednesday,O,가을,2020-10-28,0.7009079515479463,25.22,115.8,110.1342239243843,91.78233011168707,159.14383556034656,69.69956090414726,92.6559225875845,77.21647432296233,83.84484678259805,-0.19986615748650072
7237,2020,10,28,13,70.93,2020-10-28 13:00:00,2,Wednesday,O,가을,2020-10-28,0.6433410036174803,22.77,110.22,114.72942500130861,90.6570874204904,148.94273487564664,75.6298069283324,81.37758115342821,64.30307210735384,87.45855668909597,10.633498248711414
7238,2020,10,28,14,63.82,2020-10-28 14:00:00,2,Wednesday,O,가을,2020-10-28,0.5946036167747593,21.76,107.53,111.75028252524388,91.9554731876532,139.04860158335433,78.93792486922636,71.31903030761063,58.68598298836027,85.96341579334762,13.166555118471821
7239,2020,10,28,15,62.74,2020-10-28 15:00:00,2,Wednesday,O,가을,2020-10-28,0.7006423855585755,22.28,109.57,111.9075689233242,91.46051011585976,159.61518127597677,77.61708894770295,70.21080874249361,57.38232404669042,67.31600858176688,3.2061455690656593
7240,2020,10,28,16,73.42,2020-10-28 16:00:00,2,Wednesday,O,가을,2020-10-28,0.7178299141404701,22.2,133.6,114.48926469169822,92.50300084337263,171.68154384092176,72.06747645313921,84.05801813664485,67.91570321920419,65.31176401640639,-5.820334339933676
7241,2020,10,28,17,91.82,2020-10-28 17:00:00,2,Wednesday,O,가을,2020-10-28,0.8393132223817604,22.97,125.42,117.29134414285154,91.79955366720846,147.85318375334947,74.30502778598647,107.69691219196628,84.29035017723079,68.61738258198783,-19.474263592802956
7242,2020,10,28,18,84.0,2020-10-28 18:00:00,2,Wednesday,O,가을,2020-10-28,0.7763683464004296,27.52,108.54,113.32322140607077,90.79348608052362,130.72345300301006,80.42136763442653,95.19150598109945,76.26652830763983,76.49694783949639,-5.825132198806362
7243,2020,10,28,19,79.96,2020-10-28 19:00:00,2,Wednesday,O,가을,2020-10-28,0.6422953174813306,22.57,97.96,111.52133230957709,88.62931586111732,126.61252035676412,82.12210949428703,89.17245731473784,70.8680009625494,88.11719848749566,5.2393303922842565
7244,2020,10,28,20,75.23,2020-10-28 20:00:00,2,Wednesday,O,가을,2020-10-28,0.5922154261880718,22.5,103.33,115.86797594720669,89.71631044241646,123.48377848244233,84.48910703916555,87.16747830508359,67.49358034582991,100.52810255660702,14.981926587310575
7245,2020,10,28,21,71.1,2020-10-28 21:00:00,2,Wednesday,O,가을,2020-10-28,0.6982268969658284,22.34,90.49,111.93088073371531,86.21921064065903,121.20571032510536,85.97786293817515,79.58285620167159,61.30185876550857,74.90365892208051,2.655816966280666
7246,2020,10,28,22,70.22,2020-10-28 22:00:00,2,Wednesday,O,가을,2020-10-28,0.6724271789005241,22.55,85.03,112.52350616428093,89.26562554651724,118.34957338926021,87.14404068095611,79.01400602855807,62.68232225876441,85.02999999999969,9.958646519516552
7247,2020,10,28,23,52.64,2020-10-28 23:00:00,2,Wednesday,O,가을,2020-10-28,0.7387145655795514,24.35,62.96,107.87914595890436,91.9527926669105,116.51429585581285,91.98650492869086,56.78758243276726,48.40395005986169,48.403950059861785,-3.1292317913024865
7248,2020,10,29,0,49.13,2020-10-29 00:00:00,3,Thursday,O,가을,2020-10-29,0.5209436720667382,26.31,62.5,114.58138688541455,89.08417377311493,127.58061541860563,85.25538073006906,56.293835376804175,43.76705457473136,56.29383537680515,3.7319547072744776
7249,2020,10,29,1,49.89,2020-10-29 01:00:00,3,Thursday,O,가을,2020-10-29,0.5625581112320991,24.03,61.32,111.81168273742661,90.34975839392557,116.88984534162347,89.90660534595311,55.782848517702135,45.075494462729466,61.32000000000144,6.430039211383704
7250,2020,10,29,2,46.15,2020-10-29 02:00:00,3,Thursday,O,가을,2020-10-29,0.5858880316310444,23.6,55.77,109.43618916692833,92.99333290361197,112.3875929244331,87.56733894546471,50.50480130053742,42.91642313501692,55.77000000000123,5.63624286429137
7251,2020,10,29,3,50.4,2020-10-29 03:00:00,3,Thursday,O,가을,2020-10-29,0.6742309317167674,23.9,74.5,111.07685507893726,92.21933219759815,114.67422852356081,89.575895410396,55.98273495978437,46.478543427589464,72.05991549296282,14.603785003726765
7252,2020,10,29,4,50.51,2020-10-29 04:00:00,3,Thursday,O,가을,2020-10-29,0.6669031865002304,23.62,68.15,109.84718159151808,91.98589865549015,120.83098104293322,89.7069818542576,55.48381142187578,46.46207741088807,62.56472435450113,8.039334084398739
