Hour,가을,겨울,봄,여름
00,0.47403497543297257,0.22684494794245397,0.30615466490457977,0.6674204721895116
01,0.4921580006205458,0.8408321554024989,0.7884247928180295,0.9636039690568758
02,0.6182868764241602,0.6130611069857148,0.5804472882222054,0.6278082590655542
03,0.644774057958555,0.6122334769118352,0.5322721869893823,0.627559548814141
04,0.6063609805806331,0.6359704185526824,0.6473425553958423,0.6046571220030433
05,0.6490310912889431,0.6130373612856763,0.556472159681652,0.6543473221801327
06,0.6281155836051696,0.6382180380531264,0.6023699851642796,0.6499556035841301
07,0.6189916661862138,0.6400131157329478,0.6330234609368948,0.7142172162708641
08,0.6752416968892236,0.6468918123926655,0.6822941979383272,0.7429845089278568
09,0.6772941412107396,0.5466800269624865,0.6470077594207564,0.630191533420353
10,0.7090838737123465,0.6311604549935698,0.6563930910906369,0.6595761066453504
11,0.6037003747188457,0.5930659525927415,0.5685741965443004,0.4946090146316127
12,0.6370267365302278,0.6308108467735275,0.6264399837527981,0.5355391965152323
13,0.6193628979191441,0.5092628514492428,0.5487993784393039,0.5807507110928352
14,0.5925889765993502,0.5227447508371981,0.492648126738295,0.5251581034866925
15,0.6657499579801969,0.619443338916328,0.5454080641494037,0.5415142223565119
16,0.7263675605851714,0.6846985417491651,0.676076558626836,0.6810430350619486
17,0.7039884356659171,0.6043889915301393,0.7360706719393377,0.702144249391437
18,0.6107288747842199,0.5824348005328437,0.7359338736046344,0.7340984804224826
19,0.5790007042643546,0.5637688479495817,0.5870926718044556,0.6917751314436107
20,0.5393889188151726,0.4920509496814119,0.5239351591162217,0.5567316991059559
21,0.6267611605814725,0.5493707349977383,0.5571793603751959,0.44391965356058233
22,0.6800737563957373,0.6393175724274427,0.5367379824329154,0.4905693799086468
23,0.5713436975638033,0.49769624379550426,0.5996606398995723,0.5601471286685087
