Hour,가을,겨울,봄,여름
00,0.5453912399505156,0.5749735984282507,0.3666368603897071,0.5098931196015828
01,0.5251614997701961,0.481384220046045,0.5734294772271675,0.7643014467853079
02,0.6415842627124528,0.4023844867286413,0.514271759607721,0.5527529530619244
03,0.6773373529263351,0.5435895491040733,0.6254534369524002,0.6618639822287389
04,0.7103322351248333,0.6563321801893331,0.6623848574693552,0.6957413272584063
05,0.6909875267636748,0.6342262003540069,0.7403477216679903,0.7738492476643757
06,0.6969806218192072,0.5314667199440972,0.5088376590632626,0.5515628890081634
07,0.6827195173346403,0.4986170578969707,0.6050577332229166,0.8216972964769932
08,0.6822435082804291,0.5322191827756713,0.6614869373695711,0.6886363389749183
09,0.7332276387020653,0.4856568357596404,0.584922584928526,0.7222701193328408
10,0.7853268128551363,0.5547768210435866,0.6818962542771807,0.7466463108856911
11,0.6148647688134687,0.5303935293349664,0.5522828676873657,0.5356519498209662
12,0.7182296802160577,0.47053463490862407,0.6023301564104901,0.5475618337216486
13,0.5199699758633947,0.5361933282025311,0.42136261041559464,0.5314322221692253
14,0.5844181244803932,0.5267132237745289,0.616978028914954,0.5524498564802393
15,0.5920003260934401,0.6087911769389474,0.8334969184985357,0.6852113987338961
16,0.5983785812168199,0.6718710689741257,0.7240676251557164,0.7072935090607325
17,0.6523657301828816,0.6068645853072887,0.6516414576963179,0.8130712068749048
18,0.6297230086467385,0.4281925400755682,0.5996722605788949,0.7133174297816969
19,0.5333818103175617,0.5314866978422373,0.508118673025594,0.6336464351544646
20,0.5515114305423052,0.25744933198410064,0.7481579137780092,0.6093160224083471
21,0.7954146751502621,0.7168140386689729,0.6870484111030974,0.6597547026220378
22,0.7157705481949024,0.5671849283769638,0.5760703873888707,0.6969286958614873
23,0.46137142022150845,0.4940696687029178,0.5924262324895073,0.30731300365134273
